No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"esp32",6600,"$11.32",83,57
2,"esp32 cam",1900,"$0.33",50,34
3,"esp32 camera",1900,"$0.33",50,34
4,"esp32 pinout",1900,"$0.03",5,20
5,"esp32 datasheet",720,"$7.68",93,46
6,"esp32 arduino",590,"$4.88",99,48
7,"esp32 projects",390,"$3.69",61,37
8,"esp32 pin diagram",320,"$6.56",12,17
9,"esp32 wroom",260,"$28.36",100,49
10,"esp32 module",260,"$5.87",100,49
11,"esp32 vs esp8266",260,"$4.76",100,44
12,"esp32 wroom 32d",210,"$27.40",100,44
13,"esp32 micropython",210,"$9.49",100,49
14,"esp32 price",210,"$4.66",100,49
15,"esp32 bluetooth",210,"$4.84",92,46
16,"esp32 nodemcu",170,"$9.45",100,49
17,"esp32 development board",170,"$6.77",100,44
18,"esp32 board",170,"$4.67",100,49
19,"esp32 programming",170,"$7.24",88,45
20,"esp32 programmer",170,"$0",22,25
21,"esp32 camera module",140,"$1.76",100,43
22,"esp32 specification",140,"$9.70",98,48
23,"esp32 s2",140,"$63.14",46,32
24,"esp32 cam pinout",140,"$3.52",29,22
25,"esp32 where to buy",110,"$18.96",100,36
26,"esp32 buy",110,"$9.62",100,49
27,"esp32 devkit v1",110,"$3.70",100,44
28,"esp32 sim800l",110,"$1.98",100,48
29,"esp32 cam price",110,"$0.01",60,31
30,"esp32 pins",110,"$3.58",29,27
31,"esp32 arduino ide",110,"$0",14,18
32,"esp32 idf",110,"$0",5,20
33,"esp32 devkit",90,"$13.88",100,49
34,"esp32 wifi",90,"$8.95",100,48
35,"esp32 lora",90,"$0.08",49,33
36,"esp32 schematic",90,"$17.89",33,28
37,"esp32 gpio pins",90,"$0",9,16
38,"esp32 tutorial",90,"$3.21",7,21
39,"esp32 web server",90,"$0",1,14
40,"esp32 github",90,"$0",1,19
41,"esp32 price in india",70,"$24.03",75,28
42,"esp32 forum",70,"$0","00",18
43,"esp32 board manager url",70,"$0","00",5
44,"esp32 analog pins",70,"$0","00",13
45,"esp32 microcontroller",50,"$6.37",93,46
46,"esp32 wifi range",50,"$6.90",84,39
47,"esp32 mqtt",50,"$0",4,20
48,"esp32 devkit v1 pinout",50,"$0",1,6
49,"esp32 ota",50,"$0",1,19
50,"esp32 chip",40,"$4.20",100,49
51,"esp32 home automation",40,"$5.32",94,42
52,"esp32 lyrat",40,"$27.85",88,45
53,"esp32 freertos",40,"$8.38",69,39
54,"esp32 dev module",40,"$13.19",62,32
55,"esp32 eye",40,"$0",61,37
56,"esp32 features",40,"$15.88",60,37
57,"esp32 ethernet",40,"$118.07",54,35
58,"esp32 with arduino",40,"$6.72",48,28
59,"esp32 led blink",40,"$0",5,15
60,"esp32 library",40,"$0",3,19
61,"esp32 pwm pins",40,"$0",1,14
62,"esp32 in arduino ide",40,"$0","00",5
63,"esp32 at commands",40,"$0","00",13
64,"esp32 vs nodemcu",30,"$3.93",95,42
65,"esp32 ic",30,"$23.52",88,45
66,"esp32 touch sensor",30,"$0",61,32
67,"esp32 wrover kit",30,"$46.47",45,27
68,"esp32 adc",30,"$0",38,30
69,"esp32 dimensions",30,"$0",19,24
70,"esp32 wrover datasheet",30,"$0",5,15
71,"esp32 wroom datasheet",30,"$63.37",4,15
72,"esp32 power consumption",30,"$0",2,14
73,"esp32 simulator",30,"$0",2,19
74,"esp32 firebase",30,"$0",2,19
75,"esp32 getting started",30,"$0","00",13
76,"esp32 current consumption",30,"$0","00",13
77,"esp32 wifi module",20,"$459.99",100,44
78,"esp32 module datasheet",20,"$11.46",100,44
79,"esp32 38 pin",20,"$7.10",100,44
80,"esp32 display",20,"$3.28",100,49
81,"esp32 amazon",20,"$1.72",100,49
82,"esp32 with lora",20,"$1.45",100,44
83,"esp32 cost",20,"$86.20",90,45
84,"esp32 oled",20,"$207.26",88,45
85,"esp32 ram",20,"$2.40",80,42
86,"esp32 flash memory",20,"$4.84",78,37
